Key,Participant_ID,Start_ms,End_ms,eye_mean_pupil,eye_fixation_count,eye_gaze_dispersion
2Item7,20,1675151204877.2668,1675151211351.5325,0.5610134168941542,777.0,98.66513040017142
2Item8,20,1675151212265.1353,1675151218764.6477,0.5013912298740485,780.0,174.76224351548169
2Item9,20,1675151219656.5042,1675151226760.294,0.5290569381445541,853.0,186.40078708413807
2Item10,20,1675151227465.1167,1675151236424.2927,0.3857181566815044,1075.0,199.9059777779169
3spl1,20,1675151302655.627,1675151307736.45,0.3750774321008901,610.0,158.99033561947718
3spl2,20,1675151307759.236,1675151312892.563,0.4534039311594777,616.0,215.3354187048411
3Item15,20,1675151312919.9585,1675151317823.3848,0.4805372977743343,588.0,187.74814305177387
3Item2,20,1675151317841.3909,1675151321097.551,0.6121532733623798,390.0,106.5018019386436
3Item5,20,1675151321109.3682,1675151326729.0515,0.6270535975606222,674.0,164.49299789207777
3Item12,20,1675151326760.7925,1675151333258.2605,0.5792460514948918,780.0,105.0517994652026
3Item6,20,1675151333282.3162,1675151335568.139,0.4912234953720204,274.0,117.3641825973109
3Item8,20,1675151335586.903,1675151341006.6765,0.5382619761102211,651.0,156.2736500624116
3Item7,20,1675151341030.0835,1675151347663.6665,0.532196906459526,797.0,107.8909620150294
3Item9,20,1675151347683.6868,1675151357807.6245,0.5328207259315522,1215.0,103.92952444592392
3Item17,20,1675151357830.7734,1675151370777.047,0.396066374573029,1553.0,166.02151638467635
3Item19,20,1675151370801.3638,1675151378934.3325,0.3778804169326532,976.0,153.8888286229041
3Item11,20,1675151378956.8306,1675151391417.711,0.3970577737559443,1495.0,134.95298901971444
3Item4,20,1675151391441.609,1675151394259.4443,0.4582176321024037,339.0,106.77420338065656
3Item13,20,1675151394278.8096,1675151401287.1565,0.4919759090391832,841.0,148.7817930500673
3Item10,20,1675151401311.9004,1675151406836.1133,0.5199753659163485,663.0,153.38573240746754
3Item14,20,1675151406855.9043,1675151422599.329,0.4989252039995143,1890.0,134.64775969610182
3Item3,20,1675151422626.8125,1675151426722.3208,0.5296250788111794,491.0,103.41144982894932
3Item20,20,1675151426722.3208,1675151433722.3208,0.3680054165068127,840.0,146.79305097117123
1spl1,21,1676633024190.8994,1676633032489.4817,-0.1022189956113516,996.0,279.14585321983685
1spl2,21,1676633032561.1926,1676633046988.7576,0.0247206002008976,1731.0,284.85307480102193
1Item1,21,1676633047011.692,1676633059325.7214,-0.0123770356339595,1478.0,289.6490448466042
1Item2,21,1676633059345.252,1676633076196.309,0.0852301272789676,2023.0,209.46170900407824
1Item3,21,1676633076217.946,1676633111155.036,-0.0434901507919169,4193.0,220.1968997893204
1Item4,21,1676633111171.819,1676633131645.99,0.0717364952823326,2457.0,229.72899287330404
1Item5,21,1676633131665.381,1676633190612.4346,-0.0276907710047884,7076.0,234.00552636409915
1Item6,21,1676633190630.2195,1676633232895.4185,0.1669814142895045,5072.0,162.53453986715206
1Item7,21,1676633232914.231,1676633266747.6462,0.1272587047014234,4061.0,263.8564706810284
